Date,Open,High,Low,Close
2023-01-03,130.28,130.90,124.17,125.07
2023-01-04,126.89,128.66,125.08,126.36
2023-01-05,127.13,127.77,124.76,125.02
2023-01-06,126.01,130.29,124.89,129.62
2023-01-09,130.47,133.41,129.89,130.15
2023-01-10,130.26,131.26,128.12,130.73
2023-01-11,131.25,133.51,130.06,133.49
2023-01-12,133.88,134.26,131.44,133.41
2023-01-13,132.03,134.92,131.66,134.76
2023-01-17,134.83,137.29,134.13,135.94
2023-01-18,136.82,138.61,135.03,135.21
2023-01-19,134.08,136.25,133.77,135.27
2023-01-20,135.28,138.02,134.22,137.87
2023-01-23,138.12,143.32,137.90,141.11
2023-01-24,140.31,143.16,140.30,142.53
2023-01-25,140.89,142.43,138.81,141.86
2023-01-26,143.17,144.25,141.90,143.96
2023-01-27,143.16,147.23,143.08,145.93
2023-01-30,144.96,145.55,142.85,143.00
2023-01-31,142.70,144.34,142.28,144.29
2023-02-01,143.97,146.61,141.32,145.43
2023-02-02,148.90,151.18,148.17,150.82
2023-02-03,148.03,157.38,147.83,154.50
2023-02-06,152.57,153.10,150.78,151.73
2023-02-07,150.64,155.23,150.64,154.65
2023-02-08,153.88,154.58,151.17,151.92
2023-02-09,153.78,154.33,150.42,150.87
2023-02-10,149.46,151.34,149.22,151.01
2023-02-13,150.95,154.26,150.92,153.85
2023-02-14,152.12,153.77,150.86,153.20
