Date,Open,High,Low,Close
2023-01-03,243.08,245.75,237.40,239.58
2023-01-04,242.00,245.45,238.97,229.10
2023-01-05,227.20,227.55,221.76,222.31
2023-01-06,223.00,225.76,219.35,224.93
2023-01-09,226.45,231.24,226.41,227.12
2023-01-10,227.76,230.33,225.36,228.85
2023-01-11,229.59,233.87,228.84,232.87
2023-01-12,233.53,234.67,231.17,233.94
2023-01-13,231.92,234.76,231.42,234.51
2023-01-17,237.51,239.90,234.50,235.49
2023-01-18,238.41,240.97,235.82,235.81
2023-01-19,233.97,236.47,232.80,235.28
2023-01-20,234.87,238.07,233.40,240.22
2023-01-23,238.49,243.30,237.97,242.58
2023-01-24,242.50,244.40,240.54,242.04
2023-01-25,237.67,241.78,236.58,240.61
2023-01-26,244.07,246.49,240.62,248.16
2023-01-27,246.32,249.81,246.06,248.93
2023-01-30,246.25,247.60,243.22,244.03
2023-01-31,243.15,247.95,242.97,247.81
2023-02-01,246.39,249.97,245.73,252.75
2023-02-02,258.82,264.69,257.11,264.60
2023-02-03,259.53,264.20,257.37,258.35
2023-02-06,256.77,258.31,253.14,256.77
2023-02-07,254.76,261.41,254.76,267.56
2023-02-08,263.64,267.35,260.20,266.73
2023-02-09,268.05,269.60,262.09,263.62
2023-02-10,261.38,263.92,260.06,263.68
2023-02-13,263.17,267.89,262.16,265.15
2023-02-14,264.56,268.14,262.71,272.05
