Date,Open,High,Low,Close
2023-01-03,10.00,10.50,9.50,10.00
2023-01-04,11.00,11.50,10.50,11.00
2023-01-05,12.00,12.50,11.50,12.00
2023-01-06,13.00,13.50,12.50,13.00
2023-01-09,14.00,14.50,13.50,14.00
2023-01-10,15.00,15.50,14.50,15.00
2023-01-11,16.00,16.50,15.50,16.00
2023-01-12,17.00,17.50,16.50,17.00
2023-01-13,18.00,18.50,17.50,18.00
2023-01-17,19.00,19.50,18.50,19.00
2023-01-18,20.00,20.50,19.50,20.00
2023-01-19,21.00,21.50,20.50,21.00
2023-01-20,22.00,22.50,21.50,22.00
2023-01-23,23.00,23.50,22.50,23.00
2023-01-24,24.00,24.50,23.50,24.00
2023-01-25,25.00,25.50,24.50,25.00
